
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010335                       # Number of seconds simulated (Second)
simTicks                                  10334962000                       # Number of ticks simulated (Tick)
finalTick                                 10334962000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    112.76                       # Real time elapsed on the host (Second)
hostTickRate                                 91655838                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8538224                       # Number of bytes of host memory used (Byte)
simInsts                                     12162584                       # Number of instructions simulated (Count)
simOps                                       29296185                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   107864                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     259813                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         10334963                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        29491682                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       19                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       29437936                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1284                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               195510                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            332855                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            10283887                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.862530                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.746534                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    165629      1.61%      1.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   2299654     22.36%     23.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2872065     27.93%     51.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   2261079     21.99%     73.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    392495      3.82%     77.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    991913      9.65%     87.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1029877     10.01%     97.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    267292      2.60%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3883      0.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              10283887                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    8753     90.51%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     90.51% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     90.51% # attempts to use FU when none available (Count)
