
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001999                       # Number of seconds simulated (Second)
simTicks                                   1999253500                       # Number of ticks simulated (Tick)
finalTick                                  1999253500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     52.79                       # Real time elapsed on the host (Second)
hostTickRate                                 37872275                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     664000                       # Number of bytes of host memory used (Byte)
simInsts                                      8108126                       # Number of instructions simulated (Count)
simOps                                       14478103                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   153592                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     274257                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.cpu.numCycles                          3998508                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        14499332                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        2                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14506295                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    614                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                21217                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             27672                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   2                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3948672                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.673715                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.730261                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    357591      9.06%      9.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1105916     28.01%     37.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    332297      8.42%     45.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    206693      5.23%     50.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    269373      6.82%     57.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    213476      5.41%     62.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    584098     14.79%     77.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    567578     14.37%     92.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    311650      7.89%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3948672                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     298      0.12%      0.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.12% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 82867     32.51%     32.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     32.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     32.63% # attempts to use FU when none available (Count)
